"Carpeta","Archivo","Año referenciado","Periodo (creación/realización/archivo)","Personas e instituciones","Resumen académico"
"Cap 2 - Historia","Arte_popular_y_la_Imposibilidad_de_Suje.pdf","Fines del s. XVIII – 2014 (con foco en la construcción de la categoría 'arte popular' entre las décadas de 1920 y 2010)","Capítulo/artículo académico en el libro Arte y antropología. Estudios, encuentros y nuevos horizontes (ca. 2015; referencia hechos y exposiciones hasta 2014)","Giuliana Borea; Gabriela Germaná; Joaquín López Antay; José Sabogal; Luis E. Valcárcel; Mildred Merino; Francisco Stastny; Pablo Macera; Juan Acha; Mirko Lauer; Gustavo Buntinx; Rember Yahuarcani; Museo de Arte de Lima (MALI); Universidad Nacional Mayor de San Marcos","Ensayo academico de la antropologa Giuliana Borea que analiza criticamente la vigencia de la categoria arte popular en el Peru y America Latina, argumentando que sostiene un orden epistemologico moderno y colonial que divide y jerarquiza sujetos, saberes y producciones. Su tesis central es que arte popular y arte son categorias coconstituidas: la primera legitima a la segunda dentro de un sistema dual —dividido en categorias, circuitos y sujetos de produccion— eticamente insostenible que deberia dejar de reproducirse. En dialogo con Bourdieu (campo de produccion cultural), Appadurai y Myers (regimenes de valor), Ranciere y Anibal Quijano (colonialidad del poder), Borea traza una genealogia historica: las reformas borbonicas y la nocion de decencia, la profesionalizacion elitista del arte en el siglo XIX, y sobre todo el descubrimiento indigenista (1920-1950) que creo el arte popular como objeto de consumo de elites. Identifica una division del trabajo cultural entre el Estado (gestor de lo arqueologico y lo popular) y las elites privadas (gestoras del arte), reforzada por museos, disciplinas (antropologia y folclor frente a historia del arte) y autores como Sabogal, Valcarcel, Merino y Stastny. Discute el Premio Nacional a Joaquin Lopez Antay (1975), la teoria social del arte (Acha, Lauer) y voces de artistas como Primitivo Evanan. Analiza giros recientes —el arte amazonico (Yahuarcani, Rubio), la memoria de la violencia y la resignificacion de lo cholo—, pero constata que el mercado, las ferias y las subastas del MALI perpetuan el sistema. Propone trabajar en horizontes epistemologicos no dicotomicos, policentricos y descentrados."
"Cap 2 - Historia","Biczel - Sobre la imposibilidad de trazar un mapa. El «fracaso» de la Bienal de Lima 1997-2002 [Caiana].md","1997-2002","Artículo académico (revista Caiana n.º 11, CAIA), 2017","Dorota Biczel; Francis Alÿs; Allora & Calzadilla; Rogelio López Cuenca; Tupac*Caput; Luis Lama; Cuauhtémoc Medina; Miwon Kwon; Grant Kester; Bienal Iberoamericana de Lima; Municipalidad Metropolitana de Lima; Alberto Fujimori","El ensayo interroga por qué la Bienal Iberoamericana de Lima (1997, 1999, 2002) fracasó como plataforma de legitimación dentro del circuito global de bienales de los noventa, pese a haber alojado proyectos hoy canónicos del “arte participativo”. Biczel rechaza la explicación habitual —la pérdida del apoyo municipal tras la llegada del alcalde Castañeda Lossio— y propone que el fracaso obedeció a una tensión estructural entre la noción de sitio manejada por los organizadores (Luis Lama, la Municipalidad) y la que movilizaron los artistas internacionales invitados. Apoyándose en Miwon Kwon, rastrea el desplazamiento noventero del site-specific desde un lugar físico y fijo hacia un “sitio discursivo” fluido y desterritorializado, coincidente con el “giro social” del arte. Analiza tres obras de la tercera edición: Cuando la fe mueve montañas de Francis Alÿs, Tiza de Allora & Calzadilla y Lima i[NN]memoriam de Rogelio López Cuenca con el grupo Tupac*Caput. Muestra que las dos primeras alcanzaron enorme visibilidad internacional precisamente porque su localidad se volvió abstracta e intercambiable, mientras que la obra de López Cuenca —anclada en catorce “sitios de memoria” reales del conflicto armado y la violencia urbana— permaneció invisible fuera de Lima. Recurriendo a Kester, Bishop y Thompson, critica cómo el marco interpretativo del arte colaborativo borra las jerarquías de poder entre artistas extranjeros y participantes peruanos. Tesis central: la Bienal fracasó por aferrarse a un modelo identitario y a una localidad estable (el Centro Histórico) inservible en un circuito global supuestamente posidentitario, agravado por la caída del régimen de Fujimori, que desdibujó la legibilidad de la ciudad como sitio."
"Cap 2 - Historia","Borea - Configuring the New Lima Art Scene. An Anthropological Analysis of Contemporary Art in Latin America (2021).md","1997-2014","Libro / monografía académica (Routledge), 2021","Giuliana Borea; Museo de Arte de Lima (MALI); Fernando Bryce; Natalia Iguiñiz; Rember Yahuarcani; Elena Damiani; Bienal de Lima; ArtLima; PArC; Micromuseo; Routledge; PUCP; Universidad de Essex","Monografía antropológica que examina la configuración de la escena de arte contemporáneo en Lima entre 1997 y 2014, articulándola con la renovación social posterior al régimen de Fujimori, la transformación neoliberal de Lima como “ciudad creativa” y el fortalecimiento de las redes de arte latinoamericano. Borea identifica tres momentos: (1) exploraciones artísticas y nuevas narrativas curatoriales durante la transición democrática (fines de los noventa a 2006), detonadas por la Bienal de Lima y las movilizaciones antifujimoristas, cuando se consolida la figura del curador local y se amplía lo “contemporáneo” para incluir el arte amazónico; (2) reforzamiento del museo y de las redes regionales (2006-2013), con el protagonismo del MALI, el auge del coleccionista y la participación de agentes peruanos como clase cultural transnacional; (3) el ascenso del mercado (desde 2010), que culmina en la aparición simultánea de dos ferias (ArtLima y PArC). El marco conceptual dialoga críticamente con Bourdieu (campo), Latour (redes de actores), Turner (arenas), Clifford (articulaciones), Appadurai (imaginación) y la Teoría Social del Arte latinoamericana (Acha), atendiendo a clase, raza, género y generación, y a las categorías de “cholo”, “indígena” y “arte popular”. Su tesis: la articulación de Lima con el “mundo global del arte” y con el proyecto de la “ciudad creativa” no difunde nuevos valores estéticos sino que expande formatos, prototipos y lógicas de mercado dominantes, movilizados por élites transnacionales; hay una “movilización de lo político sin política”. Combina capítulos analíticos con “trayectorias” de artistas (Bryce, Iguiñiz, Yahuarcani, Damiani) y una sección curatorial sobre la autorreflexión de la escena."
"Cap 2 - Historia","Buntinx - Lava la bandera. The Colectivo Sociedad Civil and the Cultural Overthrow of the Fujimori-Montesinos Dictatorship (2017) [Collective Situations, cap. 1].md","2000-2001","Capítulo de libro (Collective Situations, Duke University Press), 2017; basado en texto en español de 2006","Gustavo Buntinx; Colectivo Sociedad Civil; Fernando Bryce; Emilio Santisteban; Susana Torres; Claudia Coca; Natalia Iguiñiz; Alberto Fujimori; Vladimiro Montesinos; Walter Benjamin; Micromuseo; CADA","Capítulo que documenta y teoriza la acción Lava la bandera del Colectivo Sociedad Civil (CSC) como contribución artística al “derrocamiento cultural” de la dictadura de Fujimori-Montesinos. Buntinx sostiene que el derrocamiento de una dictadura tiene una dimensión cultural tan decisiva como la económica, política o militar: la construcción de un consenso democrático y de una ciudadanía activa mediante la lucha por el poder simbólico en el espacio público. Reconstruye la génesis del CSC —surgido tras el fraude electoral de abril de 2000, con antecedentes en la exposición Emergencia artística (1999)— y describe el ritual iniciado en mayo de 2000 en la Plaza Mayor de Lima: ciudadanos lavando banderas peruanas de tela con agua y jabón y colgándolas en tendederos, en un gesto de purificación patriótica que resignifica los emblemas nacionales. Analiza su masiva replicación nacional e internacional, la represión estatal y las infiltraciones del SIN, así como variantes posteriores como Cose la bandera (Sana tu país, 2001), vinculada a la campaña por la Comisión de la Verdad. En lo conceptual apela a Walter Benjamin (aura, ritual, valor de culto, politización del arte frente a la estetización fascista de la política) y a antecedentes como el Siluetazo argentino y el CADA chileno. Su tesis clave es que el CSC no buscaba producir “obras” sino “situaciones” apropiables por la ciudadanía, diluyendo la especificidad artística: el arte opera como laboratorio de acciones comunicativas cuyo criterio de verdad está fuera del arte. Reivindica un “heroísmo de la vida cotidiana” y una religiosidad cívica, doméstica y casi pop, capaz de instaurar una nueva ciudadanía."
"Cap 2 - Historia","Buntinx - Los signos mesiánicos. Fardos y banderas en la obra de Eduardo Tokeshi durante la «República de Weimar peruana» 1980-1992.md","1980-1992","Ensayo académico / catálogo de exposición (Galería Fórum), reformulado hacia 2001-2002 a partir de una ponencia de 1994 (publicada en 1995)","Gustavo Buntinx; Eduardo Tokeshi; Jaime Higa; Armando Williams; Juan Javier Salazar; Jorge Eduardo Eielson; Jasper Johns; Christo Javacheff; Sendero Luminoso; Galería Fórum; Museo de Arte de la UNMSM","Ensayo (versión corregida y aumentada de una ponencia de 1994) que analiza la iconografía del fardo funerario y la bandera en la obra de Eduardo Tokeshi durante la “República de Weimar peruana”, concepto acuñado por Buntinx para nombrar la frágil democracia electoral entre 1980 y el autogolpe de Fujimori de 1992. Tesis: en un país de tiempos dislocados y superpuestos, atravesado por la guerra interna (Sendero Luminoso, MRTA, represión estatal), cierta pequeña burguesía ilustrada procesa la violencia mediante signos mesiánicos ligados al fardo —momia, feto y semilla a la vez (malki)—, imagen que enlaza muerte, represión y resurrección de una cultura andina reprimida, asociada al mito de Inkarrí y al Pachakuti. El marco conceptual moviliza a Benjamin (alegoría), Freud (lo unheimlich, el retorno de lo reprimido) y categorías locales como el “pop achorado”. Recorre la evolución de Tokeshi: piezas tempranas de 1985 con fardos y fotografías carnet borradas; Uchuraccay (1985, con Jaime Higa), que sustituye el cadáver embolsado por el fardo tras la masacre de los periodistas; la serie Bandera I-VI (1985-1992), donde el estandarte patrio funciona a la vez como vientre y sudario; y su deriva hacia la introspección y el desencanto (Sólo nubes veo para ti, Últimos refugios, Matasueños) a medida que la violencia alcanza a las clases medias limeñas (atentado de Tarata, 1992). Buntinx lee las desapariciones forzadas y las resurrecciones míticas como una tensión irresuelta, contrasta a Tokeshi con Juan Javier Salazar y Armando Williams, y recupera la controversia política por la exposición Algo va a pasar (1987)."
"Cap 2 - Historia","Buntinx - The Power and the Illusion. Aura, Lost and Restored in the «Peruvian Weimar Republic» 1980-1992 [EN].md","1980-1992","Ensayo / capítulo de libro en inglés (Beyond the Fantastic, ed. Gerardo Mosquera), 1995","Gustavo Buntinx; Huayco E.P.S.; Francisco Mariotti; Taller NN; Herbert Rodríguez; Juan Javier Salazar; Armando Williams; Jesús Ruiz Durand; Walter Benjamin; Sarita Colonia; Gerardo Mosquera; Galería Fórum","Ensayo (publicado en inglés en el volumen Beyond the Fantastic, editado por Gerardo Mosquera, 1995) que reelabora, mediante el concepto benjaminiano de aura, la producción de las artes plásticas radicales durante la “República de Weimar peruana” (1980-1992). Buntinx analiza en detalle obras que “abren y cierran” la década, rastreando el movimiento entre la pérdida cosmopolita del aura y su restauración “provinciana”. Del colectivo Huayco (E.P.S.) examina Arte al paso (1980), tapiz de 10.000 latas vacías de leche evaporada sobre las que se pinta una ración de salchipapas —crítica al hambre y a las transnacionales, y homenaje al reciclaje de las barriadas— y Sarita Colonia (1980), retrato de la santa popular instalado a la intemperie junto a la Panamericana, cerca de Pachacamac, que funciona simultáneamente como arte de vanguardia y como ícono religioso reapropiado por los migrantes: una “huaca moderna”, un ex-voto que restaura el aura. Del Taller NN analiza Viva el maoísmo / Maorilyn (c. 1990), collage-emblema que ataca alegóricamente el aura del “Gran Timonel”. El marco conceptual convoca a Benjamin (aura, montaje, símbolo frente a alegoría, Trauerspiel), Adorno y las categorías del “pop achorado” y lo “chicha”. Tesis: en esta periferia extrema las estrategias posmodernas de desmitificación se canibalizan para remitificar; los gestos contrahegemónicos se orientan a nuevas hegemonías, fundiendo tradiciones andinas y horizonte socialista en una “modernidad popular”. El aura se restaura en el mismo gesto que enuncia su pérdida, reflejando la ambivalencia del propio Benjamin entre misticismo y materialismo."
"Cap 2 - Historia","Castrillón - La generación del 68. Entre la agonía y la fiesta de la modernidad.md","1963-1980 (con antecedentes desde los años 50)","Capítulo de libro de historia del arte, s/f (posterior a 2002)","Alfonso Castrillón; Juan Acha; Grupo Arte Nuevo; Teresa Burga; Gloria Gómez Sánchez; Emilio Hernández Saavedra; Luis Arias Vera; Rafael Hastings; Jesús Ruiz Durand; Joaquín López Antay; Fernando de Szyszlo; Instituto de Arte Contemporáneo (IAC)","Capítulo de historia del arte peruano dedicado a la “generación del 68”, los artistas de vanguardia que hacia los años sesenta y setenta adoptaron el Pop, el Op, el Hard-Edge (filo duro) y el arte conceptual/no-objetual, en convivencia con el surrealismo, la nueva figuración y el expresionismo abstracto supérstite. Castrillón enmarca el periodo entre el gobierno de Belaúnde (1963) y el régimen militar de Velasco (1968-1975), atendiendo a la vida política, el desarrollo educativo, el crecimiento de las galerías y del mercado limeño. El eje conceptual es la figura del crítico Juan Acha, cuya defensa de una modernidad universalista contra el “provincianismo” indigenista y las “conscripciones” de la peruanidad, su teoría del arte como sistema de producción-distribución-consumo y sus conferencias de 1969 sobre mass media, estructuralismo y no-objetualismo articularon el ingreso de las vanguardias. Reconstruye la protesta del grupo Arte Nuevo (1966) frente al Festival Americano de Pintura y su muestra en la galería El ombligo de Adán, con Luis Arias Vera, Teresa Burga, Gloria Gómez Sánchez, Emilio Hernández Saavedra, Rafael Hastings y otros; traza el informalismo (Gómez Sánchez), los surrealismos (Quintanilla, Chávez, Tsuchiya, Revilla), la figuración (Bill Caro, Palao), el “pop achorado” de Ruiz Durand y el conceptualismo pionero de Burga y Hastings. Discute la polémica de 1975 por el Premio Nacional otorgado al retablista popular Joaquín López Antay, que planteó el reconocimiento del arte popular en la historia del arte peruano. La tesis, sugerida por el título “entre la agonía y la fiesta”, es la tensión de una modernidad rezagada y dependiente de importaciones estéticas que exigían ser asimiladas con recursos y nutrientes locales."
"Cap 2 - Historia","Castrillón - Reflexiones sobre el arte conceptual en Perú y sus proyecciones.md","Años 60-70 en Perú (con antecedentes desde 1436 y del Dadá/Duchamp)","Ponencia de coloquio (arte no-objetual), 1981 (reed. c. 2007)","Alfonso Castrillón Vizcarra; Juan Acha; Teresa Burga; Rafael Hastings; Emilio Hernández; Joaquín López Antay; Fernando de Szyszlo; Jorge Romero Brest; Ruiz Durand; Grupo Espacio; Instituto de Arte Contemporáneo (IAC); Universidad Nacional Mayor de San Marcos","Ponencia leída por Alfonso Castrillón en el Primer Coloquio Latinoamericano sobre Arte No-Objetual (Medellín, 1981) que discute la pertinencia de la categoría ""no-objetualismo"" y propone, en su lugar, una historia de la progresiva desaparición del objeto artístico. Castrillón rastrea la conciencia del concepto desde Alberti, Leonardo y Miguel Ángel, para argumentar que la objetualidad y sus atractivos sensibles prevalecieron durante siglos hasta que, hacia 1966, el Conceptual Art desplazó esa intención tradicional. Sostiene que no existe un no-objetual absoluto, pues toda manifestación se apoya en un soporte material; prefiere hablar de una crisis de la sensibilidad y del objeto-mercancía, gestada desde el impresionismo, el cubismo, el futurismo, Dadá, Duchamp y el minimalismo. El aporte central es su lectura del caso peruano: describe la vanguardia como fenómeno atípico y desfasado respecto de una industrialización incipiente (desde Odría), reconstruyendo hitos del pop, op y conceptual local (Luis Arias Vera, Gloria Gómez Sánchez, Teresa Burga, Ruiz Durand), la irradiación de Romero Brest y, sobre todo, la crítica activa de Juan Acha, cuyo entusiasmo por el ""desarrollo"" juzga estimulante pero sin eco material. Valora experiencias conceptuales de Emilio Hernández, el Autorretrato de Teresa Burga y las acciones de Rafael Hastings. Su tesis más provocadora considera la premiación de Joaquín López Antay (1975) como la mejor acción de arte conceptual peruana, por golpear desde dentro la ideología estética señorial. Concluye reivindicando el arte conceptual como crítica operativa, efímera y útil en ámbitos universitarios, y aboga por un arte de la vida frente a la mercancía."
"Cap 2 - Historia","Conversatorio - Hay algo incomestible en la garganta - 2021-10-13 [Sala de Lectura].transcripcion.md","1988-2002 (años 90)","Transcripción de conversatorio, 13-10-2021","Miguel A. López; Elena Tejada-Herrera; Susana Torres; Cecilia (autora de La máquina de carne); Jorge Villacorta; galería Parafernalia; ICPNA; Natalia Iguíñiz; Gilda Mantilla; Elena Valera; Seminario de Historia Rural Andina; Sala de Lectura","Transcripción del conversatorio de cierre de la exposición ""Hay algo incomestible en la garganta. Poéticas antipatriarcales y nueva escena en los años noventa"" (curaduría de Miguel A. López, ICPNA, 2021), con las artistas Elena Tejada-Herrera, Susana Torres y Cecilia (autora de La máquina de carne). López enmarca la muestra entre 1988 y 2002 y en el contexto de la dictadura fujimorista, el neoliberalismo y la violencia política, proponiendo dos ejes: la emergencia de representaciones que desafían estructuras misóginas y la reconfiguración de los bordes de la escena artística. Las artistas comentan obras concretas: Tejada-Herrera describe performances como ""Recuerdo"" (1998), realizada en San Marcos tomada por el ejército en alusión a los desaparecidos de La Cantuta, y ""La mujer yo-yo"", que subvierte el imaginario del peruano doliente; Torres narra su tránsito del modelaje al autorretrato y a la serie de banderas exhibida en Parafernalia con Jorge Villacorta, y su descubrimiento del feminismo vía Flora Tristán; Cecilia explica el fotomatón interactivo ""Máquina de carne"" (2000-2001) como dispositivo sobre sexualidad, cuerpo y foto carnet, y su recorrido por distintos estratos sociales. El diálogo articula la noción de un ""arte de urgencia"" intuitivo y anterior al vocabulario feminista instalado hacia 2021, discute la relectura histórica que permite la muestra, la sororidad, la censura y la recontextualización de obras. Se mencionan trayectorias paralelas (Iguíñiz, Mantilla, Bedoya, Gandolfo, Rocío Rodrigo, Johanna Hamann) y la incorporación de artistas amazónicas (Elena Valera, Astrid Canayo) y del Seminario de Historia Rural Andina, ampliando el canon de la escena limeña noventera."
"Cap 2 - Historia","Del Valle - La fiesta del no-objetualismo. Polémicas sobre arte contemporáneo en América Latina.md","1970-1981 (esp. Coloquio de Medellín, mayo 1981)","Ensayo académico, 2007","Augusto del Valle; Juan Acha; Mirko Lauer; Aracy Amaral; Mário Pedrosa; Néstor García Canclini; Rita Eder; Nelly Richard; Alfonso Castrillón; Álvaro Barrios; Marta Traba; Museo de Arte Moderno de Medellín","Ensayo de Augusto del Valle (fechado en marzo de 2007) que toma como objeto el Primer Coloquio Latinoamericano sobre Arte No-Objetual y Arte Urbano (Medellín, mayo de 1981), dirigido por Juan Acha, para reconstruir el origen, vigencia y olvido de la categoría ""no-objetualismo"" y evaluar su potencial crítico. La tesis central lee ese coloquio como el pico de una deriva identitaria y latinoamericanista, situada entre la I Bienal Latinoamericana de São Paulo (1978) y la I Bienal de La Habana (1984), y determinada por el endeudamiento de la ""década perdida"" y la posterior recomposición neoliberal y multicultural que obliteró esos proyectos. Del Valle organiza el análisis contrastando a los ponentes que rechazaron la categoría desde la comunicación o la historia del arte (García Canclini, María Elena Ramos, Jorge Glusberg, Castrillón) con quienes la aceptaron mediante informes nacionales (Aracy Amaral en Brasil, Rita Eder en México, Álvaro Barrios en Colombia, Nelly Richard en Chile, Lauer y Castrillón en Perú). Marco conceptual: teoría social del arte, valor de uso/valor de cambio, aura benjaminiana y crítica de la modernización capitalista. Destaca la asociación entre no-objetualismo y acción corporal, el fenómeno mexicano de ""los grupos"", el retablo andino en Mirko Lauer como experimento social involuntario y la vanguardia peruana según Castrillón. Cierra dialogando con el conceptualismo global (Camnitzer, Mari Carmen Ramírez, Longoni, Cuauhtémoc Medina) y reivindica el no-objetualismo como archivo semántico capaz de recuperar autores y polémicas silenciadas frente a la homogeneización curatorial contemporánea."
