"Carpeta","Archivo","Año referenciado","Periodo (creación/realización/archivo)","Personas e instituciones","Resumen académico"
"Cap 3 - Análisis/Fuentes ET","Castillo, Rocío - Eduardo Tokeshi y sus fardos funerarios. La sangre llega al atelier [entrevista, sección Artes & Letras].md","años 80 (c. 1986-1990), época de violencia política","Entrevista de prensa (sección Artes & Letras), c. finales de los años 80 (s/f exacta)","Eduardo Tokeshi; Rocío Castillo C.; Armando Williams; Juan Javier Salazar; Patricia López; Sendero Luminoso; Pontificia Universidad Católica del Perú (La Católica); Municipalidad de Miraflores; III Bienal de Trujillo; muestra «Algo va a pasar»","Entrevista periodística realizada por Rocío Castillo a Eduardo Tokeshi (Lima, 1960) en su taller cercano al Parque Universitario, publicada en la sección Artes & Letras hacia finales de los años ochenta. El texto documenta la recepción de sus «banderas» y «fardos funerarios» exhibidos en la muestra «Algo va a pasar» (Municipalidad de Miraflores) y en la III Bienal de Trujillo, obras que —según el artista— nacieron de motivaciones subjetivas y de su propia visión de la muerte, pero recibieron una «lectura política» impuesta por el contexto de violencia. Tokeshi reflexiona sobre la multiplicidad de lecturas de la obra, el placer ante las reacciones del público callejero y el riesgo de ser leído tanto por Sendero como por sus adversarios como «arte decadente» ajeno al pueblo. Rechaza el realismo socialista y sitúa su práctica en diálogo con el conceptualismo norteamericano, junto a Armando Williams, Juan Javier Salazar y Patricia López. Narra su trayectoria formativa: la frustración en Arquitectura, el paso por el arte gráfico y su decisión final por la pintura en la PUCP, donde luego enseña Composición. El eje conceptual del testimonio es la «indignación» como medida de la identidad nacional y la tensión entre lo subjetivo y lo político —la crisis de identidad, la asfixia, la muerte del «Sexto»— que motiva sus banderas. La fuente aporta un registro de primera mano sobre la autopercepción del artista, su método intuitivo y su rechazo a la rutina, anticipando futuras mutaciones de su obra."
"Cap 3 - Análisis/Fuentes ET","Entrevista - Tokeshi, Eduardo - sin fecha [refinada v1, correcciones sin verificar].transcripcion.md","1980-2002 (principalmente 1985-2000)","Entrevista (transcripción refinada v1), s/f de grabación; transcrita en 2026","Eduardo Tokeshi; Gustavo Buntinx; Luis Lama; Jorge Eduardo Eielson; Luis Camnitzer; Óscar Muñoz; Jaime Higa; Helmut Psotta (grupo Chaclacayo); Jasper Johns; Takashi Murakami; PUCP; Bienal de Lima; Bienal de São Paulo","Transcripción refinada de una entrevista extensa (01:19) a Eduardo Tokeshi que reconstruye su trayectoria y, a través de ella, la transformación de la escena artística limeña entre 1980 y 2002. El artista relata su formación en la PUCP —tras abandonar Arquitectura—, marcada por la clásica división entre la Católica «abstracta» y Bellas Artes «figurativa», y el surgimiento de su primera bandera hacia 1985 como pulsión ajena a todo canon, sin conciencia de estar haciendo «arte contemporáneo». Detalla obras clave (Matan al Lavacarros, Uchuraccay con Jaime Higa), el uso de la fotocopia y de materiales extra-artísticos, y las tensiones textiles leídas frente a Jorge Eduardo Eielson. La entrevista funciona como cartografía generacional: la muestra «Algo va a pasar» (1987) curada por Gustavo Buntinx, la Bienal de Trujillo, el grupo Chaclacayo y Helmut Psotta, y sobre todo las exposiciones que Luis Lama llevó a la Municipalidad de Miraflores (Camnitzer, Óscar Muñoz) como acontecimientos que «rompen la cabeza» de su generación. El marco conceptual central es la profesionalización del arte peruano en los noventa: la aparición del proyecto, del portafolio, del curador, de residencias y concursos, y el paso del «artista bohemio» a una «mype creativa». Tokeshi teoriza lo contemporáneo local como «eco» o refracción debilitada de lo metropolitano (São Paulo, Lyon, Murakami, Jasper Johns). Cierra describiendo minuciosamente la génesis de la bandera de bolsas de transfusión (club RH negativo, urgencia, fujimorato en fuga), pieza que sintetiza su poética de identidad, muerte y coyuntura."
"Cap 3 - Análisis/Fuentes ET","Munive Maco - Una espera en tres actos. Vientres grávidos y gravitantes en la obra de Johanna Hamann (2017) [Illapa Mana Tukukuq 14, pp. 60-71].pdf","1978-1990 (obras); marco del conflicto armado interno 1980-1992/2000","Artículo académico (revista Illapa Mana Tukukuq n.º 14, Universidad Ricardo Palma), 2017","Manuel Munive Maco; Johanna Hamann; Eduardo Tokeshi; Patricia Vega Boschiazzo; Jorge Villacorta; Carlos Runcie Tanaka; Alberto Flores Galindo; Fietta Jarque; José Matos Mar; Cecilia Fajardo-Hill y Andrea Giunta; Hammer Museum; ICPNA / MALI; PUCP","Artículo académico publicado en la revista Illapa Mana Tukukuq (n.º 14, 2017, Universidad Ricardo Palma) por el investigador Manuel Munive Maco. Su tesis: el tiempo transcurrido permite leer de manera concatenada tres piezas de la plástica limeña de los ochenta que, pese a provenir de una escultora, un pintor y una diseñadora gráfica, coinciden en representar vientres grávidos como metáfora de concebir y sobrevivir en un periodo de extrema violencia. El objeto de estudio son Barrigas de Johanna Hamann (1978-1983), Bandera IV de Eduardo Tokeshi (1987) y Nacer en Lima de Patricia Vega (1990). El marco conceptual articula la periodización del Conflicto Armado Interno del Informe Final de la CVR con una lectura materialista de la obra: el sentido emana de la materialidad —gasa, yeso y garfios de carnicería con connotación quirúrgica en Hamann; plástico negro forense y tocuyo tensado en Tokeshi; terciopelo bordado y pan de bronce festivo en Vega—. Munive rastrea recepciones sucesivas (Fietta Jarque, Alberto Flores Galindo) que convierten las piezas en patrimonio poético común, y aporta testimonios inéditos de los propios artistas obtenidos por correspondencia. Destaca la ruptura de fronteras disciplinarias como signo generacional, el vínculo de Tokeshi con Eielson y con la plástica popular andina (exvotos, Tablas de Sarhua), y el diálogo de Vega con la iconografía religiosa virreinal y la migración («Gran Lima» de Matos Mar). Cita además la entrevista de Villacorta a Hamann (ICPNA, 2016) y contextualiza Barrigas en la muestra Radical Women (Hammer Museum, 2017)."
"Cap 3 - Análisis/Fuentes ET","Registro - Tokeshi relata el origen de Bandera VIII, el club RH negativo y el poema de Watanabe [fragmento de transcripción sin procedencia].txt","c. 2000 (colapso del fujimorato); poema de Watanabe de 1989","Fragmento de transcripción sin procedencia, s/f","Eduardo Tokeshi; José Watanabe; club RH negativo","Breve fragmento de transcripción, de procedencia no identificada, en el que Eduardo Tokeshi relata el origen de su Bandera VIII. El testimonio enlaza tres materiales biográficos y poéticos: su pertenencia al «club RH negativo» y su condición de donante habitual de sangre (compartida con sus tres hijos), la idea recurrente de «urgencia» —el llamado a donar de emergencia— y la lectura del poema de José Watanabe «El envío» (que Tokeshi recuerda como «El regalo»), incluido en el documento a partir del libro El huso de la palabra (1989). El artista proyecta esa noción de urgencia sanguínea sobre la coyuntura del colapso del fujimorato hacia 2000, cuando el país «no tenía presidente» y estaba «metido en una serie de videos, de persecuciones», en un «estado total de urgencia». La bandera nacional se resignifica así como cuerpo enfermo que requiere transfusión, articulando la sangre como símbolo simultáneamente médico, familiar y patriótico. El poema de Watanabe, reproducido íntegro, aporta el sustrato conceptual: la sangre anónima recibida en una transfusión que corrige el impulso misántropo del poeta y habla de una «fraternidad más vasta», un «envío de la especie». La fuente, aunque mínima, es valiosa como registro de primera mano del proceso creativo y del entramado de referencias íntimas —donación, enfermedad, amistad con Watanabe— que sostiene una de las piezas más citadas de la serie de banderas, y evidencia cómo Tokeshi convierte la experiencia personal en comentario político sobre la nación en crisis."
"Cap 3 - Análisis/Fuentes ET","Registro - Visita guiada con Buendía. Las estelas y la directriz senderista del campo a la ciudad [transcripción].txt","1980-1994 (serie de banderas; violencia política, Tarata 1992)","Transcripción de visita guiada, s/f","Eduardo Tokeshi; Buendía (guía, según título); José Watanabe; Sendero Luminoso; Abimael Guzmán; club RH negativo","Transcripción de una visita guiada (identificada en el título con «Buendía») que recorre, obra por obra, la serie de banderas de Eduardo Tokeshi como crónica visual del conflicto armado interno. El relato —en primera persona del artista— interpreta cada pieza en clave histórica: las «estelas»/esteras que rodeaban la periferia limeña se leen como materialización de la directriz senderista «del campo a la ciudad», el avance de lo negro sobre la bandera figura la invasión del caos, y la bolsa negra —omnipresente en la televisión y los diarios de los ochenta— se personifica como «la muerte pariendo un país», con una marca «vaginal» que alumbra la patria. La secuencia avanza cronológicamente: de las banderas más «primitivas» de los años ochenta a El último round (1991), bandera descolorida y acolchada como ring de box; la bandera de 1992, hecha tras Tarata, con cintas de masking tape y pequeños corazones que rodean la patria como única esperanza; y una bandera de 1994 con la referencia bíblica del perdón «setenta veces siete», tras la caída de Abimael, en el momento de reconstruir un país «descuartizado». El marco conceptual entrelaza violencia política, costumbre cotidiana del terror (la instrucción de tirarse al suelo ante las explosiones) y simbología patriótica (el rojo como sangre-carne, el blanco como paz frágil). El fragmento final reitera la génesis de la Bandera VIII: el club RH negativo, la urgencia sanguínea y el poema de José Watanabe, cerrando el recorrido con la crisis del fujimorato. Fuente testimonial clave para datar y descifrar la iconografía de la serie."
"Cap 3 - Análisis/Fuentes ET","Video - Against the Grain. Documental de Ann Kaneko sobre artistas peruanos bajo el fujimorato [transcripción].txt","1980-2006 (conflicto armado interno, fujimorato y postconflicto)","Transcripción de documental (Ann Kaneko), c. 2008 (rodado hacia 2006)","Ann Kaneko; Eduardo Tokeshi; Natalia Iguíñiz; Claudio Jiménez Quispe; Alfredo Márquez; Alberto Fujimori; Vladimiro Montesinos; Alan García; Alejandro Toledo; Sendero Luminoso y MRTA; Comisión de la Verdad y Reconciliación","Transcripción del documental Against the Grain de la cineasta estadounidense-japonesa Ann Kaneko (estrenado hacia 2008, rodado en torno a las elecciones peruanas de 2006), que sigue a cuatro artistas peruanos que trabajaron bajo el fujimorato y el conflicto armado interno. Kaneko articula un relato en el que lo político y lo autobiográfico se entrelazan —ella misma, japonesa, es interpelada como «china» y confundida con Fujimori— y estructura el material según la cronología política: la aparición de Sendero Luminoso (1980) y el MRTA, la hiperinflación del primer gobierno de Alan García, el autogolpe de 1992, las masacres de Barrios Altos y La Cantuta, la captura de Abimael Guzmán, la caída de Fujimori (2000) y el retorno de García en 2006. Los artistas estudiados son Eduardo Tokeshi (identidad nipoperuana y sus banderas como vínculo con una realidad que «pesa»), Natalia Iguíñiz (autorretrato, género y clase; el afiche «La Perra», censurado, y La Otra sobre el trabajo doméstico), Claudio Jiménez Quispe (retablista ayacuchano que representa la violencia y cuyo tío fue desaparecido) y Alfredo Márquez (encarcelado por su intervención del rostro de Mao con labios de Marilyn Monroe, la obra Caja Negra y su performance Eccehomo). El marco conceptual es la censura, la autocensura y la resistencia estética bajo el autoritarismo, y la tensión entre «arte político» y «operaciones visuales» ligadas al momento. Aparecen acciones colectivas emblemáticas —Lava la bandera, la Marcha de los Cuatro Suyos, el Muro de la Vergüenza— y la Comisión de la Verdad. Fuente audiovisual de primera mano sobre arte, memoria y política en el Perú de 1980-2006."
"Cap 3 - Análisis/Fuentes ET","Video - Poéticas del duelo. Conferencia de Víctor Vich en el Reina Sofía, 2020-02-07 [transcripción].txt","1980-2000 (violencia política); prácticas artísticas y coyuntura hasta ca. 2019","Transcripción de conferencia, 07-02-2020","Víctor Vich; Eduardo Tokeshi; Gustavo Buntinx; Ricardo Wiesse; Claudia Martínez; Natalia Iguiñiz; Miguel Cordero; Lucía Monge; Cristina Planas; Jaime Higa; César Vallejo; Museo Reina Sofía","Transcripción de la conferencia de Víctor Vich en el Centro de Estudios del Museo Reina Sofía. Su tesis sostiene que las prácticas simbólicas peruanas procesan cuatro antagonismos constitutivos de la vida nacional: la violencia política de 1980-2000, la corrupción, los conflictos medioambientales frente a las industrias extractivas y una hegemonía neoliberal ortodoxa; en el debate final añade el género y lo racial como quinto eje pendiente. El marco conceptual concibe el arte como disenso y visibilidad, y articula la noción de «poéticas del duelo» apoyándose en Lyotard, Balibar, Laclau, Lacan, Žižek, Benjamin y Jameson: obras que hurgan en las ruinas de la historia, suspenden el tiempo hegemónico y ritualizan las deudas del pasado. Vich analiza un corpus de piezas: la Bandera VIII de Eduardo Tokeshi —108 bolsas de transfusión con sangre y sal, «la patria en cuidados intensivos» según Buntinx—; las cantutas pintadas por Ricardo Wiesse en los cerros de Cieneguilla en memoria de La Cantuta; la serie Invisible de Claudia Martínez, que punza fotografías de la CVR; Lava la bandera del Colectivo Sociedad Civil; las banderas blanqueadas de Natalia Iguiñiz; el saco militar de bolsillos de Miguel Cordero como «suplemento obsceno»; el Plantón Móvil de Lucía Monge; los Gallinazos de Cristina Planas en los Pantanos de Villa; la serigrafía de César Vallejo de Jaime Higa; y el escudo nacional apropiado por el mercado. El aporte del texto es leer estas intervenciones como respuestas políticas que reescriben imaginarios colectivos, reivindicando la potencia de lo simbólico frente a la precariedad de lo político, económico y social peruano."
"Cap 3 - Análisis/Fuentes ET","Web - Aproximaciones a una historia del arte peruano a partir de la década del ochenta. Fracción de una ponencia del XI Simposio Internacional de Historia, Arequipa 2006, publicada en el blog Escuela de Marte.txt","Décadas de 1980 y 1990 (con antecedentes desde inicios del siglo XX y los años 60-70)","Ponencia académica (fracción), 2006; publicada en blog Escuela de Marte, 11-02-2007","David Flores-Hora; Juan Acha; Jesús Ruiz Durand; Francisco Mariotti; E.P.S. Huayco; Herbert Rodríguez; Juan Javier Salazar; Eduardo Tokeshi; Johanna Hamann; Alfonso Castrillón; Alfredo Márquez; Jorge Villacorta y Max Hernández Calvo; ICPNA; Colectivo Sociedad Civil","Fracción de una ponencia de David Flores-Hora presentada en el XI Simposio Internacional de Historia (Arequipa, 2006) y difundida en el blog Escuela de Marte. El texto propone una periodización del arte peruano desde los ochenta bajo el concepto de «tránsitos múltiples», entendiendo la historia plástica nacional como un campo atravesado por tensiones generacionales y disputas ideológicas entre proyectos esteticistas y proyectos nacionalistas, rastreables desde la fundación de Bellas Artes y el indigenismo de Sabogal. Reconstruye los antecedentes: la recepción acelerada de tendencias internacionales bajo Belaúnde, el rol del IAC y de Juan Acha con el grupo Arte Nuevo, y el «Pop Achorado» del afiche velasquista (Ruiz Durand, Hernández Saavedra). El núcleo argumental vincula la producción plástica con el ciclo de violencia: la guerra interna entre Sendero Luminoso, el MRTA y el terrorismo de Estado (Grupo Colina, SIN), y su traducción en la serigrafía de los ochenta (Taller NN, Los Bestias) y en artistas como Tokeshi, Hamann, Tola y Ruiz Durand. Para los noventa describe la dictadura fujimontesinista, el autogolpe de 1992, los vladivideos y la caída del régimen, y sitúa la emergencia de intervenciones urbanas que abandonan el «cubo blanco» para tomar la calle (Colectivo Sociedad Civil, Lava la bandera, colectivos Bichos y Los Aguaitones). Aporta además una lectura del caso Alfredo Márquez y su Pacha-Kuti/Like a Virgin, y de la censura política a los artistas. El texto, de tono divulgativo-histórico y con aparato bibliográfico apoyado en Castrillón, Villacorta y Del Valle, funciona como mapa cronológico-contextual de dos décadas convulsas."
"Cap 3 - Análisis/Fuentes ET","Web - Eduardo Tokeshi, «el artista no debe ser ajeno a nada». Entrevista de 1999 recuperada en el blog Burbujas Reloaded.txt","1985-1999 (trayectoria del artista, con foco en los años 90)","Entrevista, 1999 (texto inédito republicado en el blog Burbujas Reloaded, 06-07-2005)","Eduardo Tokeshi; Luz Letts; Jasper Johns; Joseph Beuys; Edward Hopper; Pablo Picasso; Alfredo Bryce Echenique; Óscar Naters; Editorial PEISA; revistas Hueso Húmero y Mosca Azul","Entrevista a Eduardo Tokeshi realizada en 1999 y recuperada en el blog Burbujas Reloaded. El documento ofrece un autorretrato del artista como creador interdisciplinario que, desde 1985, trabaja paralelamente pintura, pintura-objeto, instalación, escenografía e ilustración, rechazando el encasillamiento en categorías como el neo-pop o el arte conceptual. Su marco autorreflexivo gira en torno a la noción de «referencia» frente a «influencia»: Tokeshi se define como una esponja o «vampiro» que sustrae elementos de fuentes diversas —Jasper Johns (a quien dedica La Serie del Tío Jasper), El Bosco, De Kooning, Picasso, el arte japonés, el arte chicha, el cine, la televisión y el zapping— para producir algo nuevo. Aborda su práctica de instalación como acto de recontextualizar y «rebautizar» objetos ordinarios, en linaje duchampiano, y reflexiona sobre la autonomía de la obra una vez «soltada» al público, comparándola con hijos que hablan bien o mal de su autor. El texto documenta datos biográficos relevantes: el asma infantil que lo volcó al dibujo, la influencia decisiva de su esposa Luz Letts en su viraje hacia el color hacia 1990, la relación directa de sus series con la coyuntura política y afectiva (las esteras de 1985-1986 vinculadas a la violencia estructural, el reciente nacimiento de sus mellizos), y su obra Vida y Milagros del Hombre Invisible (1997). En su parte final critica la precariedad de los medios de difusión cultural peruanos y la falta de una política estatal que reconozca la cultura como imagen de país, contrastando con casos como Cuba. Aporta testimonio de primera mano sobre la poética y las condiciones de producción del artista."
"Cap 3 - Análisis/Fuentes ET","Web - La patria en cuidados intensivos. Ficha de Micromuseo sobre Bandera VIII de Tokeshi (2000), post de Facebook del 2020-11-10.txt","2000 (obra); marco de la «República de Weimar peruana» 1980-1992","Ficha de obra / post de Facebook de Micromuseo, 10-11-2020 (cita de texto de Buntinx, 2001)","Eduardo Tokeshi; Gustavo Buntinx; Micromuseo (al fondo hay sitio)","Ficha breve difundida por Micromuseo en Facebook que documenta y comenta la Bandera VIII (2000) de Eduardo Tokeshi, reproduciendo un fragmento del ensayo de Gustavo Buntinx «Los signos mesiánicos: fardos y banderas en la obra de Eduardo Tokeshi durante la 'República de Weimar Peruana' (1980-1992)», publicado en Micromuseo nº 1 (abril de 2001). El texto describe la obra —la más dramática de la serie de banderas del artista— como una bandera peruana configurada por ciento ocho recipientes estériles de sal y sangre, «bolsas de transferencia» de uso médico colgadas de una estructura metálica cromada de color verde-hospital, cuyas formas industriales adquieren sugerencias orgánicas y funerarias: «la patria en cuidados intensivos». El aporte interpretativo de Buntinx radica en subrayar la polisemia de la pieza: la sal nutricia de connotaciones bíblicas puede leerse también como alusión narcótica o aciaga (el Perú como país donde «la paz siempre está salada», según el propio Tokeshi), mientras la sangre, de manufactura química, es infiltrada con la sangre real del artista. Con ello se establece un enlace entre el cuerpo personal y el cuerpo de la patria, y se figura una «peruanidad ficticia», una nacionalidad ilusa en cuya redención ciudadana, sin embargo, «se nos va la vida, a veces demasiado literalmente». Aunque de extensión mínima, la fuente es valiosa por fijar la ficha técnica de la obra (materiales, año) y por transmitir la lectura crítica canónica que ha acompañado su recepción, articulando arte, duelo nacional y violencia política de fin de siglo."
