"Carpeta","Archivo","Año referenciado","Periodo (creación/realización/archivo)","Personas e instituciones","Resumen académico"
"Teoría","(s.f.) Isabell Lorey - Estado de inseguridad Gobernar la precariedad.pdf","n/d (texto teórico; diagnostica el neoliberalismo postfordista de fines del s. XX e inicios del s. XXI)","Libro de teoría/ensayo, 2016 (edición española de Traficantes de Sueños, col. Mapas 43; original alemán Die Regierung der Prekären, 2012)","Isabell Lorey; Judith Butler (prefacio); Raúl Sánchez Cedillo (traductor); Traficantes de Sueños; Michel Foucault; Giorgio Agamben; Paolo Virno; Hannah Arendt; Silvia Federici; Robert Castel; Pierre Bourdieu; Precarias a la Deriva / EuroMayDay","El libro sostiene que la precarización dejó de ser un fenómeno marginal o coyuntural para convertirse en el modo hegemónico de gobierno de las sociedades neoliberales occidentales. Su tesis central es que gobernar ya no consiste en prometer protección y seguridad a cambio de obediencia, como en el modelo hobbesiano, sino en administrar y calibrar un umbral de inseguridad social que mantiene gobernables a las poblaciones sin llegar a la rebelión: el arte de gobernar equilibra ese umbral. Lorey despliega una genealogia foucaultiana de la gubernamentalidad —del poder pastoral cristiano al autogobierno del ciudadano moderno— para mostrar como la subjetivacion neoliberal opera mediante la ambivalencia entre heterogobierno y autogobierno, entre servidumbre y posibilidad de fuga. Distingue analiticamente tres nociones: la condicion precaria (vulnerabilidad existencial compartida, en dialogo con Butler), la precariedad como distribucion desigual de esa condicion, y la precarizacion como instrumento gubernamental. Critica la soberania y la excepcion soberana (Agamben), la inmunizacion y el desmantelamiento del Estado social, y examina el trabajo virtuoso postfordista (Virno) —cognitivo, comunicativo y afectivo— que reclama a la persona entera y difumina la frontera entre trabajo y vida. Recupera la critica feminista del trabajo reproductivo y de cuidados (Federici) y la crisis de cuidados, asi como las luchas de los precarios. Frente a Bourdieu y Castel, que temian la imposibilidad de la resistencia colectiva, propone no una desprecarizacion que restaure los viejos sistemas de proteccion, sino un exodo inmanente: rechazar el autogobierno capitalizable y construir lo comun en la diferencia relacional. El prefacio de Judith Butler subraya el aporte del estudio."
"Teoría","Alberro - Periodising Contemporary Art.md","Finales de los años ochenta al presente (1989-1991 como umbral)","Capítulo de libro (ensayo teórico), c. 2013","Alexander Alberro; Michel Foucault; Fredric Jameson; Chantal Mouffe; Meyer Schapiro; Okwui Enwezor; Nicolas Bourriaud; Jacques Rancière; Peter Bürger; Michael Denning; Martha Rosler","Alberro sostiene que, tras 1989, emergió un nuevo periodo histórico -lo contemporáneo- que reconfiguró el modo en que el arte construye a su espectador. Su tesis central es que la periodización no es un adorno narrativo optativo sino un componente esencial del proceso histórico mismo, y que ""lo contemporáneo"" debe pensarse como una formación hegemónica análoga a la globalización y el neoliberalismo, plenamente consolidada a fines de los ochenta. Metodológicamente traduce el pensamiento genealógico de Foucault (formación discursiva, episteme) pero lo desplaza desde la lógica de límite y exclusión hacia la de división interna y transgresión, articulándolo con la noción de hegemonía de Mouffe para pensar totalidad y diferencia simultáneamente, y las posiciones de sujeto y agencia que esta habilita. Identifica cuatro rasgos del periodo: primero, la globalización, visible tanto en iconografías de la integración mundial como en la proliferación de bienales y ferias que operan como brazos de investigación del mercado occidental; segundo, un nuevo imaginario tecnológico ligado a internet y la cultura digital, donde la imagen desplaza al objeto y el ""cubo blanco"" cede ante la ""caja negra""; tercero, una reconsideración de la vanguardia (Bürger, Enwezor, Bourriaud, Rancière) que reorienta su promesa hacia la estética relacional y la anticipación de ""formas de vida por venir""; y cuarto, el resurgimiento de una estética filosófica del afecto y la experiencia que niega los logros del postestructuralismo y sume en crisis a disciplinas hermenéuticas como la historia del arte. Concluye que la identidad de lo contemporáneo permanece abierta, disputada como un campo de batalla de narrativas."
"Teoría","Andrade y Elhaik - Antropología de la imagen. Una introducción (2018) [Antípoda 33, pp. 3-11].md","n/d (campo emergente; referencias desde mediados del siglo XX)","Artículo académico (introducción a dossier), 2018","X. Andrade; Tarek Elhaik; Antípoda. Revista de Antropología y Arqueología; Universidad de los Andes; University of California, Davis; Gilles Deleuze; Roger Bartra; Luis Camnitzer; George Marcus; Marcel Duchamp; Aby Warburg","Manifiesto introductorio que define la antropología de la imagen como campo emergente resultante de tres líneas de fuga interconectadas: la renovación del diálogo entre antropología, arte y filosofía; el desplazamiento del clásico foco en el etnos hacia estrategias de ensamblaje; y el reconocimiento de la necesidad de curar el quehacer mismo de la disciplina. Los autores marcan una distancia deliberada respecto de la antropología visual tradicional -dependiente del documental etnográfico y atrapada en cuestiones de representación- para postular la activación de lógicas que van más allá del método y los manuales. Su argumento clave es la reconfiguración de la figura del antropólogo como ""persona conceptual"" (Deleuze) y la existencia de ""intrusiones mutuas"" entre antropología y arte contemporáneo, que redefinen radicalmente el trabajo de campo, ahora concebido como image-work (trabajo-con-imágenes) mediante diseño y prácticas curatoriales; la curaduría emerge así como sustituto posible del método comparativo. El marco conceptual moviliza a Deleuze y Guattari (ensamblaje), Bartra (crítica a las complicidades entre antropología y proyecto nacional), la 'Patafísica de Jarry, la iconología de Warburg y los conceptualismos latinoamericanos de Camnitzer, distinguidos del arte conceptual metropolitano. Critican la moda del ""giro ontológico"" por reinstaurar dicotomías y otredades nostálgicas, y proponen un ""ethos intermedial"" y una etnografía entendida como ""zona de turbulencias"" atravesada por confrontación, intrusión y extrañeza (Fabian, Mier). Reivindican el potencial crítico -irónico, iconoclasta, patafísico- que el capital simbólico del arte permite frente a la corrección política de la academia, y llaman a historizar las genealogías latinoamericanas de estos cruces."
"Teoría","Andrade, Borea y Pinochet - Antropologías y artes. Genealogías, experimentos y desafíos desde Latinoamérica (2024) [Antropologías visuales latinoamericanas, cap. 1, con los preliminares del libro].md","Siglo XX-XXI (desde los años 1920 hasta la actualidad)","Capítulo de libro, 2024","X. Andrade; Giuliana Borea; Carla Pinochet Cobos; Gisela Cánepa; Alonso Quinteros; FLACSO Ecuador; Fondo Editorial PUCP; Néstor García Canclini; Ticio Escobar; Juan Acha; Hal Foster; George Marcus y Fred Myers","Capítulo panorámico que traza las genealogías, exploraciones y tramas de las antropologías del arte en Latinoamérica, argumentando que estos cruces poseen un espesor propio que antecede y desborda las formulaciones metropolitanas (el ""giro etnográfico"" de Foster, la estética relacional de Bourriaud, el giro social de Bishop) y el volumen fundacional de Marcus y Myers. La primera sección identifica dos motores histórico-conceptuales: lo indígena -ligado a los indigenismos y a la construcción de identidades nacionales, desde Gamio, Vasconcelos, Valcárcel, Sabogal y la revista Amauta de Mariátegui- y lo popular, que disputa la tradición folclórica y se articula, entre los sesenta y ochenta, con la teoría social del arte (Acha, Lauer, Escobar, García Canclini, Colombres) y el no objetualismo/conceptualismo, apoyados en Gramsci y la noción de hegemonía cultural. La segunda sección mapea experimentos recientes en cuatro líneas entrecruzadas: los circuitos del arte y lo urbano (Schneider, Borea, Mitrovic, Pinochet, colectivo CDC); el arte indígena en sus cruces con violencia, agencia y otras ontologías (Ulfe, retablos ayacuchanos, estéticas amazónicas, Rubio, Baniwa); la curaduría y sensorialidad como dispositivos de investigación (Andrade y Full Dollar, Elhaik, Montezemolo, Rozental, Cortés Severino); y las prácticas colaborativas, comunitarias y relacionales, cuya dimensión ético-política problematizan. La tercera sección, reflexiva y situada, narra el seminario de 2014 en la PUCP como momento fundante de redes regionales y postula una antropología del arte definida por las interrogantes antes que por los objetos, no esencialista (""cuándo hay arte""), consciente de sus paradojas: el desencantamiento del propio ethos y el trabajo con élites culturales."
"Teoría","Andrade, X. - Inscripción, desinscripción, intrusión. La etnografía como práctica curatorial (2017).md","2004-2015 (proyectos de Full Dollar en Guayaquil, Quito y Los Ángeles)","Capítulo de libro, 2017 (en Borea, ed., Arte y antropología, PUCP)","X. Andrade; Full Dollar; Marcel Duchamp; Rafael Cippolini; Jean Dubuffet; Tarek Elhaik; George Marcus y Fred Myers; Antoni Muntadas; Víctor Hugo ""Don Pili"" Escalante; Johannes Fabian; Museo Camilo Egas","Andrade analiza su propia práctica artística, conducida desde 2004 mediante la entidad apócrifa Full Dollar -definida como ""empresa de antropología que interviene en circuitos del arte contemporáneo""-, como extensión de sus intereses etnográficos y como modo de expandir el poder crítico de la mirada etnográfica bajo condiciones autoritarias como las de Guayaquil. Su marco conceptual articula la 'Patafísica de Jarry, el conceptualismo derivado de Duchamp y una relectura de la noción de ""tráfico"" (Marcus y Myers) que él acota, tomando el narcotráfico como referente para pensar los cruces interdisciplinarios como fricciones y resistencias antes que como armónicos encuentros. Tres conceptos organizan el ensayo: inscripción (el gesto duchampiano de introducir lo no-artístico en el inventario del arte, ejemplificado en su instalación de 2007 en el Museo Camilo Egas, que comisiona a una empresa de sanitarios una vitrina como parodia de la Fountain y crítica al provincialismo de la gestión cultural), desinscripción (según Cippolini y Dubuffet, el descubrimiento de un no-artista tras la obra) e intrusión (Elhaik y su crítica a los límites del ""giro etnográfico"" fuera de EE.UU. y Europa). El proyecto central, The Full Dollar Collection of Contemporary Art (2009-presente), comisiona al rotulista popular ""Don Pili"" reproducciones de obras célebres traducidas al lenguaje de la gráfica popular, exhibiéndolas como crítica a la hipermercantilización y al coleccionismo. Andrade no idealiza la relación: expone las asimetrías de clase, raza y poder, las economías productiva y moral, y las tensiones irresolubles entre arte y artesanía, siguiendo la ""confrontación"" etnográfica de Fabian."
"Teoría","Andrea Giunta_Contra el Canon.md","1944–presente (arte de la segunda posguerra a la actualidad; foco desde los años 1960)","Libro de ensayos de historia/teoría del arte, 2020 (Siglo XXI Editores; OCR del texto completo)","Andrea Giunta; Mário Pedrosa; Nelly Richard; Joaquín Torres García; Lucio Fontana; Hélio Oiticica; Antonio Berni; Ana Mendieta; Cecilia Vicuña; Jean-Luc Godard; Agustín Pérez Rubio; MALBA (Verboamérica)","Libro de ensayos de la historiadora del arte argentina Andrea Giunta (Siglo XXI, 2020) que impugna el «canon» euronorteamericano del arte moderno y contemporáneo y el modelo evolutivo centro-periferia que lo sostiene. Su hipótesis central es la de las «vanguardias simultáneas»: la innovación no se genera en un centro para replicarse luego, atenuada, en las periferias, sino que se produce de forma simultánea y situada en distintas ciudades del mundo. A partir de casos —la abstracción rioplatense (Arte Concreto-Invención, Madí) frente al expresionismo abstracto neoyorquino; Torres García, Fontana y Oiticica; Berni y Godard bajo el horizonte común del feminismo de segunda ola— Giunta muestra que conceptos como «marco recortado» o «coplanar» resuelven problemas que la abstracción europea dejó abiertos, sin ser copia ni derivación. Propone además periodizar la contemporaneidad no desde un hito externo (1989) sino desde el quiebre de la autonomía del lenguaje artístico y el retorno de las neovanguardias en los años sesenta, cuando arte, política y activismo se entrelazan. El texto moviliza herramientas como la «lectura periscópica», las «imágenes manifiesto» y un léxico situado (el «activismo» latinoamericano frente al «conceptualismo»), ensayado en la exposición Verboamérica que cocuró con Agustín Pérez Rubio en el Malba (2016-2018). Lo atraviesan el feminismo, la politización del cuerpo, lo indígena/precolombino (Ana Mendieta, Cecilia Vicuña, los yanomami) y una crítica poscolonial en diálogo con Mário Pedrosa y Nelly Richard. Su aporte es un marco comparativo, no jerárquico, para narrar el arte contemporáneo «en un mundo sin centro»."
"Teoría","Appadurai - Disjuncture and Difference in the Global Cultural Economy (1990) [Theory, Culture & Society 7(2), desde p. 295].md","Finales del siglo XX (mundo contemporáneo, c. 1980-1990)","Artículo académico, 1990 (Theory, Culture & Society)","Arjun Appadurai; Theory, Culture & Society; University of Pennsylvania; Benedict Anderson; Fredric Jameson; Jean Baudrillard; Karl Marx; Lash y Urry; Michael Denning","Appadurai plantea que el problema central de las interacciones globales contemporáneas es la tensión entre homogeneización y heterogeneización cultural, y rechaza tanto los argumentos de la ""americanización"" o ""comoditización"" como los modelos centro-periferia, de empuje-atracción o marxistas del desarrollo, por incapaces de captar la complejidad de un ""capitalismo desorganizado"". Su tesis es que la economía cultural global debe entenderse como un orden complejo, disyuntivo y superpuesto, articulado por disyunturas fundamentales entre economía, cultura y política. Propone su célebre marco de cinco dimensiones de flujo cultural global, designadas con el sufijo -scape para subrayar su carácter perspectival, fluido e irregular: ethnoscapes (paisajes de personas en movimiento: turistas, migrantes, refugiados, trabajadores huéspedes), technoscapes (configuración móvil de la tecnología), finanscapes (disposición veloz del capital global), mediascapes (distribución de capacidades mediáticas e imágenes del mundo) e ideoscapes (concatenaciones de imágenes de matriz ideológica, ligadas a las ideas ilustradas de libertad, derechos, soberanía y al término maestro ""democracia""). Estos paisajes constituyen ""mundos imaginados"" -extendiendo las ""comunidades imaginadas"" de Anderson- y siguen trayectorias crecientemente no-isomórficas, cuyas disyunturas son centrales a la política cultural global. Desarrolla la desterritorialización como fuerza central del mundo moderno, generadora de nuevos mercados, fundamentalismos y patrias inventadas, y analiza la relación tensa entre nación y Estado, cuyo guion pasa de ser índice de conjunción a de disyunción. Finalmente, releyendo a Marx, propone dos fetichismos: el de la producción (que enmascara el capital translocal) y el del consumidor (transformado en signo y mero ""elector""). Concluye que globalización no equivale a homogeneización."
"Teoría","Appadurai - The Capacity to Aspire. Culture and the Terms of Recognition.md","n/d (contemporáneo; movimientos de vivienda en Mumbai, décadas de 1990-2000)","Capítulo de libro, 2004","Arjun Appadurai; Charles Taylor; Albert Hirschman; Amartya Sen; Mary Douglas; James Fernandez; Nancy Fraser; Axel Honneth; SPARC; National Slum Dwellers Federation; Mahila Milan / SDI; Banco Mundial","Appadurai propone recuperar el futuro como capacidad cultural, desplazando la definición dominante de cultura como pasado (hábito, costumbre, tradición, patrimonio) para pensarla como orientación hacia el porvenir. Su tesis central es que la pobreza no es solo privación material, sino operar con recursos débiles en los «términos del reconocimiento»: las normas que enmarcan la vida social de los pobres y que muchas veces refuerzan su degradación. Frente a ello introduce la «capacidad de aspirar», una metacapacidad navegacional, distribuida desigualmente, que permite conectar deseos concretos con horizontes normativos más amplios; los mejor situados la ejercitan más y con mayor densidad de nodos y rutas. El marco conceptual dialoga con la política del reconocimiento de Taylor, la tríada lealtad/salida/voz de Hirschman, el enfoque de capacidades de Sen y la antropología de la cosmología (Douglas) y del consenso ritual (Fernandez). El argumento se ilustra etnográficamente con la Alianza de Mumbai (SPARC, la Federación Nacional de Habitantes de Tugurios y Mahila Milan) dentro de la red global SDI: sus prácticas de ahorro diario, exhibiciones de vivienda, festivales de baños, «precedentes» y política de la paciencia frente a la emergencia son leídas como pedagogías que fortalecen la voz y modifican los términos del reconocimiento. Concluye que aspiración (capacidad) y capacidades (Sen) se requieren mutuamente, y ofrece orientaciones para planificadores y agencias de desarrollo, articulando redistribución y reconocimiento en la lucha contra la pobreza. El texto reposiciona la cultura como recurso prospectivo y político."
"Teoría","Arte_popular_y_la_Imposibilidad_de_Suje.pdf","Fines del s. XVIII – 2014 (con foco en la construcción de la categoría 'arte popular' entre las décadas de 1920 y 2010)","Capítulo/artículo académico en el libro Arte y antropología. Estudios, encuentros y nuevos horizontes (ca. 2015; referencia hechos y exposiciones hasta 2014)","Giuliana Borea; Gabriela Germaná; Joaquín López Antay; José Sabogal; Luis E. Valcárcel; Mildred Merino; Francisco Stastny; Pablo Macera; Juan Acha; Mirko Lauer; Gustavo Buntinx; Rember Yahuarcani; Museo de Arte de Lima (MALI); Universidad Nacional Mayor de San Marcos","Ensayo academico de la antropologa Giuliana Borea que analiza criticamente la vigencia de la categoria arte popular en el Peru y America Latina, argumentando que sostiene un orden epistemologico moderno y colonial que divide y jerarquiza sujetos, saberes y producciones. Su tesis central es que arte popular y arte son categorias coconstituidas: la primera legitima a la segunda dentro de un sistema dual —dividido en categorias, circuitos y sujetos de produccion— eticamente insostenible que deberia dejar de reproducirse. En dialogo con Bourdieu (campo de produccion cultural), Appadurai y Myers (regimenes de valor), Ranciere y Anibal Quijano (colonialidad del poder), Borea traza una genealogia historica: las reformas borbonicas y la nocion de decencia, la profesionalizacion elitista del arte en el siglo XIX, y sobre todo el descubrimiento indigenista (1920-1950) que creo el arte popular como objeto de consumo de elites. Identifica una division del trabajo cultural entre el Estado (gestor de lo arqueologico y lo popular) y las elites privadas (gestoras del arte), reforzada por museos, disciplinas (antropologia y folclor frente a historia del arte) y autores como Sabogal, Valcarcel, Merino y Stastny. Discute el Premio Nacional a Joaquin Lopez Antay (1975), la teoria social del arte (Acha, Lauer) y voces de artistas como Primitivo Evanan. Analiza giros recientes —el arte amazonico (Yahuarcani, Rubio), la memoria de la violencia y la resignificacion de lo cholo—, pero constata que el mercado, las ferias y las subastas del MALI perpetuan el sistema. Propone trabajar en horizontes epistemologicos no dicotomicos, policentricos y descentrados."
"Teoría","Ball - On Dicentization (2014) [Journal of Linguistic Anthropology].md","n/d","Artículo académico, 2014","Christopher Ball; University of Notre Dame; Journal of Linguistic Anthropology; C. S. Peirce; Nancy Munn; Michael Silverstein; Susan Gal / Judith Irvine; Roman Jakobson; Alfred Gell; Allan Grapard; Glenn Most","Ball desarrolla, desde la antropología semiótica peirceana, el concepto de «dicentización»: el proceso por el cual una semejanza (ícono) o una relación convencional (símbolo) es interpretada como si constituyera una conexión física o dinámica real (índice). Apoyándose en la tercera tricotomía de Peirce (rema, dicente, argumento) y en el papel generativo del interpretante, propone la dicentización como contraparte de la «rematización» (Irvine y Gal) o naturalización: si esta última convierte índices en íconos para fijar fronteras sociales, la dicentización opera un «ascenso» inverso que crea contigüidad e indexicalidad allí donde antes había solo forma, abriendo pasajes de conexión. La tesis es que este mecanismo, matriz de la eficacia ritual, se generaliza más allá del lenguaje a la semiosis cultural. Lo demuestra mediante un metaanálisis de cuatro casos etnográficos y textuales: la iconografía walbiri de Munn (dibujo en arena vs. pintura corporal yawalyu), la montaña textualizada del Sutra del Loto en Kunisaki (Grapard), las psicologías homérica y freudiana de la ira (Most, con Rushdie) y las trampas como arte en Gell (Vogel, Danto, Hirst). En cada caso, un mismo vehículo sígnico pasa de interpretación remática a dicente, produciendo transformación de la subjetividad, revelación, diagnóstico o captura estética. El marco se inscribe en un «realismo semiótico» (Peirce, Silverstein) que impugna el nominalismo y afirma la continuidad entre representación y realidad. El aporte central es teorizar con precisión peirceana la indexicalidad creativa y performativa como fenómeno transversal de la vida social."
